sse,vr
0x14158A1E8,0x141602C50
0x14173C758,0x1417C44E8
0x141853760,0x1418F2C88
0x141658EE0,0x1416D21B0
0x1416B69A0,0x14173AFB0
0x141712768,0x14179AB38
0x1416409F8,0x1416B8E38
0x1417587F0,0x1417E0CA8
0x14170D028,0x1417954C8
0x141722D98,0x1417AB1C0
0x1416404C0,0x1416B88E0
0x1416D6210,0x14175E580
0x1415FCC88,0x1416739D8
0x14172A7B8,0x1417B2BE8
0x141725918,0x1417ADD48
0x141545CF0,0x1415BD0C0
0x14170DA08,0x141795DE8
0x141586848,0x1415FF338
0x14173A068,0x1417C2408
0x14169FE58,0x141722F58
0x141757E60,0x1417E0300
0x141539598,0x1415B0918
0x14186CFA0,0x14190CA30
0x141756968,0x1417DEE08
0x141713940,0x14179BD10
0x1415D1DB0,0x141648A98
0x1415D1DC0,0x141648AA8
0x1415B5DD8,0x14162CC30
0x1415D6538,0x14164D220
0x1415D59A8,0x14164C690
0x14154B6F0,0x1415C2CF0
0x14154B648,0x1415C2C48
0x14173C608,0x1417C4418
0x1415D5830,0x14164C518
0x1415D5840,0x14164C528
0x1415B5738,0x14162C590
0x1415DFA98,0x141656780
0x1415D5898,0x14164C580
0x1415E01C8,0x141656EB0
0x1415B5488,0x14162C2E0
0x1415E00D8,0x141656DC0
0x1415B51F8,0x14162C050
0x1415B5208,0x14162C060
0x1415D5688,0x14164C370
0x1415D5678,0x14164C360
0x1415D41F0,0x14164AED8
0x1415A3448,0x14161A5E0
0x1415A3458,0x14161A5F0
0x1415364E0,0x1415AD888
0x1415B58E8,0x14162C740
0x1415D50B8,0x14164BDA0
0x14163FF38,0x1416B83A8
0x141870018,0x14190FB38
0x1416DE6A0,0x141766B78
0x1416C4ED0,0x14174CA38
0x1415248B0,0x14159BC00
0x1416C57F8,0x14174D8B0
0x1416C57E8,0x14174D8A0
0x1415E64A8,0x14165D190
0x1415DFCE0,0x1416569C8
0x14158A748,0x141602E48
